time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160617:1010,151338,451.43,328.67,14.51,61.59,15.48,5.02,0
20160617:1110,137630,301.09,410.08,13.32,65.76,16.14,4.98,0
20160617:1210,72622,23.74,354.29,7.79,64.41,16.81,4.94,0
20160617:1310,167972,653.31,226.03,15.56,58.26,16.9,4.56,0
20160617:1410,150796,618.69,165.92,14.13,49.54,16.99,4.18,0
20160617:1510,114814,427.28,167.51,11.27,39.75,17.08,3.81,0
20160617:1610,61324,125.91,200.31,6.78,29.62,16.67,3.17,0
20160617:1710,31130,103.01,91.8,5.17,19.59,16.27,2.53,0
20160617:1810,7470,0,52.7,1.17,9.99,15.86,1.89,0
20160617:1910,0,0,0,0,0,14.79,1.7,0
20160617:2010,0,0,0,0,0,13.72,1.5,0
20160617:2110,0,0,0,0,0,12.66,1.31,0
20160617:2210,0,0,0,0,0,12.28,1.39,0
20160617:2310,0,0,0,0,0,11.9,1.48,0
20160618:0010,0,0,0,0,0,11.53,1.56,0
20160618:0110,0,0,0,0,0,10.88,1.67,0
20160618:0210,0,0,0,0,0,10.23,1.78,0
20160618:0310,0,0,0,0,0,9.58,1.89,0
20160618:0410,392,0,9.35,0.21,5.15,10.41,2.06,0
20160618:0510,2476,0,23.8,0.53,14.4,11.25,2.22,0
20160618:0610,10342,0,66.95,1.4,24.24,12.08,2.39,0
20160618:0710,44518,18.31,217.9,5.04,34.35,12.83,2.34,0
20160618:0810,95698,212.88,280.08,10.23,44.39,13.59,2.29,0
20160618:0910,99486,149.01,366.14,10.31,53.81,14.34,2.23,0
20160618:1010,155676,535.71,288.54,15.23,61.59,14.96,2.23,0
20160618:1110,123630,225.47,423.89,12.39,65.78,15.58,2.22,0
20160618:1210,159330,524.21,328.95,15.27,64.45,16.2,2.21,0
20160618:1310,30052,0,167.37,3.51,58.31,16.29,2.45,0
20160618:1410,72404,51.55,327.31,7.67,49.59,16.37,2.69,0
20160618:1510,104736,317.68,226.48,10.38,39.8,16.45,2.92,0
20160618:1610,52232,66.93,211.53,5.8,29.67,15.64,2.53,0
20160618:1710,2670,0,25.33,0.53,19.64,14.82,2.13,0
20160618:1810,7222,0,51,1.14,10.04,14.01,1.74,0
20160618:1910,0,0,0,0,0,13.19,1.58,0
20160618:2010,0,0,0,0,0,12.38,1.43,0
20160618:2110,0,0,0,0,0,11.57,1.27,0
20160618:2210,0,0,0,0,0,11.37,1.27,0
20160618:2310,0,0,0,0,0,11.17,1.27,0
20160619:0010,0,0,0,0,0,10.98,1.27,0
20160619:0110,0,0,0,0,0,10.54,1.23,0
20160619:0210,0,0,0,0,0,10.1,1.19,0
20160619:0310,0,0,0,0,0,9.66,1.14,0
20160619:0410,2632,0,24.65,0.55,5.13,10.11,1.45,0
20160619:0510,3050,0,27.2,0.61,14.38,10.57,1.75,0
20160619:0610,6246,0,45.23,0.95,24.21,11.03,2.06,0
20160619:0710,7756,0,53.38,1.12,34.33,11.54,2.27,0
20160619:0810,64410,39.72,292.49,6.93,44.37,12.06,2.48,0
20160619:0910,68946,29.2,326.14,7.35,53.8,12.57,2.69,0
20160619:1010,58068,6.18,296.31,6.31,61.58,13.1,2.66,0
20160619:1110,146828,378.51,388.33,14.15,65.8,13.64,2.63,0
20160619:1210,14484,0,88.66,1.86,64.48,14.17,2.61,0
20160619:1310,38080,0,205.36,4.3,58.35,14.46,2.82,0
20160619:1410,110154,228.25,339.84,10.76,49.64,14.75,3.03,0
20160619:1510,24962,0,141.13,2.96,39.85,15.03,3.24,0
20160619:1610,31618,6.17,167.63,3.64,29.72,14.71,3.2,0
